attempt_id,customer_id,attempt_time,success
1,58,2023-08-01 19:23:19,False
2,55,2023-08-10 13:14:34,True
3,13,2023-08-07 12:24:57,False
4,85,2023-08-10 23:08:08,False
5,88,2023-08-16 06:02:02,False
6,35,2023-08-07 13:03:13,False
7,48,2023-07-26 22:44:54,True
8,62,2023-08-12 07:52:14,True
9,17,2023-07-27 05:37:32,False
10,13,2023-08-10 07:48:24,True
11,31,2023-08-21 12:19:28,False
12,11,2023-07-29 00:01:31,False
13,18,2023-08-07 23:01:13,True
14,25,2023-08-09 23:27:15,True
15,79,2023-08-22 02:01:03,True
16,90,2023-08-22 20:58:50,False
17,58,2023-08-11 01:12:38,True
18,43,2023-08-06 14:37:53,True
19,47,2023-08-15 17:31:26,False
20,62,2023-08-17 10:17:21,False
21,87,2023-08-03 12:12:40,True
22,39,2023-07-30 21:10:20,True
23,87,2023-08-17 17:55:29,True
24,14,2023-08-22 18:15:02,False
25,29,2023-08-19 06:15:21,True
26,8,2023-08-17 11:48:16,False
27,46,2023-08-15 09:35:11,False
28,83,2023-08-19 11:15:37,True
29,58,2023-08-19 00:05:56,False
30,40,2023-08-11 14:41:22,False
31,82,2023-08-11 09:20:30,True
32,99,2023-08-19 09:58:22,True
33,13,2023-07-27 18:36:52,True
34,16,2023-07-30 22:49:03,True
35,73,2023-07-28 04:00:52,True
36,17,2023-08-10 15:21:04,True
37,2,2023-07-31 23:26:38,False
38,29,2023-08-24 19:13:32,False
39,80,2023-08-05 17:08:54,False
40,8,2023-08-22 07:08:39,True
41,4,2023-08-05 18:00:20,False
42,42,2023-08-22 13:33:40,True
43,80,2023-08-02 08:47:24,True
44,45,2023-07-31 22:17:38,False
45,41,2023-08-21 02:48:17,False
46,63,2023-07-31 18:17:19,True
47,77,2023-07-29 15:32:09,True
48,12,2023-08-09 19:49:40,False
49,59,2023-08-12 19:58:02,True
50,37,2023-08-03 19:44:01,True
51,94,2023-07-27 14:04:14,False
52,68,2023-08-01 12:11:22,True
53,14,2023-08-22 18:27:48,False
54,66,2023-08-11 04:17:01,True
55,25,2023-08-04 06:24:51,True
56,100,2023-08-17 14:49:17,False
57,19,2023-08-01 12:27:42,True
58,25,2023-08-05 03:53:37,False
59,38,2023-08-20 18:51:17,True
60,90,2023-08-13 18:22:42,True
61,6,2023-08-09 03:05:21,True
62,16,2023-08-16 17:01:54,False
63,77,2023-08-01 11:21:10,True
64,80,2023-08-03 19:13:02,False
65,15,2023-08-17 23:03:07,False
66,85,2023-07-28 16:27:03,False
67,69,2023-08-08 02:40:53,False
68,80,2023-08-08 17:22:01,False
69,69,2023-08-08 15:46:54,True
70,22,2023-08-24 17:03:49,False
71,36,2023-08-02 19:21:07,True
72,60,2023-08-16 12:05:57,True
73,68,2023-08-21 16:25:48,False
74,62,2023-08-01 04:51:29,True
75,100,2023-07-29 19:13:03,False
76,77,2023-07-29 06:43:51,False
77,11,2023-08-13 03:20:21,False
78,13,2023-08-12 03:30:28,True
79,93,2023-08-22 18:51:29,True
80,46,2023-08-17 15:48:22,True
81,43,2023-07-29 20:38:20,True
82,77,2023-08-13 07:16:54,False
83,40,2023-07-31 02:03:58,False
84,23,2023-08-22 05:41:20,True
85,26,2023-08-17 13:50:40,True
86,6,2023-07-29 09:40:07,True
87,66,2023-08-04 22:52:48,True
88,32,2023-07-26 17:14:01,True
89,59,2023-07-29 09:40:35,True
90,15,2023-08-21 05:36:28,False
91,86,2023-08-20 22:30:28,False
92,59,2023-08-03 16:40:32,False
93,3,2023-08-05 10:36:33,True
