account_id,customer_id,balance,open_date
1,67376,2365.46,2022-10-25
2,81820,4225.57,2022-09-21
3,97541,7922.82,2023-08-28
4,77189,8655.29,2023-05-11
5,93809,3108.68,2023-04-24
6,8067,3147.15,2022-11-29
7,8641,2098.6,2023-03-09
8,97649,6924.0,2023-08-12
9,77438,2239.43,2022-10-27
10,7685,7679.72,2022-12-09
11,40454,663.07,2023-04-03
12,25407,289.92,2023-06-13
13,63241,8786.16,2023-04-04
14,36671,4487.87,2022-10-27
15,98244,3395.5,2023-02-04
16,7337,9664.39,2022-10-21
17,92194,5878.44,2023-01-10
18,78399,2386.0,2022-11-19
19,4612,5191.01,2023-08-16
20,5766,4416.93,2023-04-14
21,65319,3927.04,2023-03-22
22,95617,9379.86,2023-08-09
23,76610,1875.15,2023-09-10
24,99568,6516.98,2023-02-25
25,76842,1203.81,2023-04-26
26,70990,9104.96,2023-07-14
27,53869,5068.51,2022-12-09
28,46250,1365.04,2023-02-22
29,45907,5490.23,2022-12-06
30,21324,8404.26,2023-05-30
31,36646,6042.03,2023-06-16
32,51523,1493.29,2023-05-28
33,30696,6750.09,2023-05-19
34,13884,6090.2,2023-07-25
35,97777,4622.18,2023-07-14
36,81512,8512.65,2023-01-15
37,85747,6661.8,2023-08-10
38,45411,6502.67,2023-01-24
39,76739,4330.49,2023-02-21
40,9241,3486.49,2022-09-15
41,42026,1032.91,2023-02-25
42,15486,1072.6,2023-07-25
43,1796,6545.53,2023-08-25
44,73587,5823.09,2023-08-12
45,16217,7387.7,2023-03-27
46,96677,4735.4,2022-10-05
47,25066,6190.66,2023-08-23
48,42269,3104.08,2022-10-22
49,30472,4805.67,2022-09-17
50,67780,2066.25,2023-08-17
51,36625,9326.5,2022-10-16
52,99458,8934.83,2023-02-18
53,15829,416.3,2022-10-28
54,67231,8909.64,2023-04-22
55,69518,9268.59,2023-08-31
56,72085,4265.75,2023-08-08
57,68078,9017.68,2023-04-10
58,26327,8425.41,2022-11-11
59,33942,6229.79,2023-01-09
60,99204,8933.09,2023-06-24
61,72722,4828.02,2023-02-10
62,29324,4329.52,2023-08-20
63,80754,6845.98,2023-05-05
64,67506,9702.25,2022-09-28
65,93238,7806.41,2023-01-12
66,8950,785.21,2023-08-23
67,133,6389.81,2022-10-25
68,24920,4283.82,2023-04-12
69,5579,3830.05,2023-06-05
70,62764,5161.83,2023-08-28
71,54335,2034.55,2023-04-20
72,8326,9454.59,2023-01-26
73,48879,9400.76,2023-08-25
74,21154,7422.55,2023-04-10
75,3673,5384.49,2022-10-10
76,58016,6312.2,2023-02-04
77,43356,8266.88,2023-07-08
78,58846,1537.44,2022-10-24
79,62302,2493.89,2023-08-11
80,32264,628.98,2023-07-11
81,88171,5678.9,2023-03-13
82,34040,8702.65,2023-05-24
83,72347,1249.63,2022-10-15
84,37623,4752.56,2023-01-11
85,42339,4796.53,2023-07-25
86,19819,6953.77,2023-01-28
87,90348,7367.46,2023-04-08
88,25370,8538.46,2023-05-25
89,63073,2980.46,2023-03-30
90,58262,776.77,2023-09-12
91,71250,7995.58,2023-07-06
92,82440,3485.56,2023-02-27
93,91361,7822.53,2023-05-10
94,75931,1880.2,2023-07-12
95,3443,4608.36,2023-03-07
96,53033,2104.33,2023-07-07
97,68039,1917.53,2023-05-15
98,29319,8295.29,2023-03-06
99,41971,8838.73,2023-08-15
100,11854,6792.48,2023-02-18
101,14217,4478.0,2022-11-11
102,55825,8170.09,2023-01-09
103,68952,3180.56,2023-01-11
104,99673,537.28,2023-02-06
105,4058,8969.51,2022-10-18
106,3088,8057.22,2023-06-30
107,26089,4023.82,2023-07-15
108,24844,1122.16,2023-06-03
109,26870,3780.35,2023-03-22
110,91807,5395.46,2023-05-23
111,76733,640.42,2023-08-08
112,58722,3516.04,2022-11-05
113,41388,682.38,2022-10-14
114,36905,5385.6,2022-12-30
115,95796,2312.35,2022-10-28
116,96547,6765.05,2023-07-09
