location_id,transaction_id,latitude,longitude
1,16418,39.11079700,-123.08836400
2,34368,-7.21856750,86.00174700
3,56777,38.31487650,116.15397100
4,49212,63.55403700,-164.14050900
5,25085,-79.24074850,-162.42440400
6,62558,60.38837100,117.82389800
7,81568,4.47624450,-56.44360900
8,83288,-38.47009800,-9.77888700
9,55760,-50.85008750,29.38758500
10,95218,80.61646750,60.27594700
11,71960,-70.13255850,-172.53150900
12,4440,-83.85369950,163.20369100
13,2919,19.23217400,-167.69591700
14,97922,86.41539550,-116.06731500
15,64983,68.51832150,160.99401500
16,26325,-9.58935800,-83.65733800
17,79817,70.93111850,47.74712700
18,87730,-1.55204200,113.62737000
19,2825,26.44684300,53.68860900
20,14092,16.51693400,154.21387500
21,75410,-53.23224050,91.60838600
22,22896,62.56464900,-162.62420500
23,34693,48.34142000,105.88742400
24,58555,64.87862300,155.89156900
25,90694,-3.38252950,-65.57501600
26,6435,-36.47286450,170.27493600
27,72625,31.74378300,166.97971000
28,25271,71.59080550,97.52136200
29,71591,-26.73413600,-110.59403600
30,63858,25.37450200,106.23513700
31,54244,-6.66875400,-13.09358700
32,1755,33.95148950,170.09501800
33,17913,-11.66830100,73.82930000
34,45610,5.85822600,60.04336900
35,71951,-81.17205750,-47.34555900
36,67099,-42.77288050,82.37640900
37,19230,30.55455150,128.33764600
38,48533,34.93590150,-151.23708500
39,30837,-12.47681000,-0.85436200
40,17250,67.04525150,-15.08617400
41,80023,15.91644500,-174.60393400
42,26277,28.86519700,101.37958000
43,33303,-44.11181650,-49.68837500
44,48682,-73.01413900,-129.32303100
45,4239,-40.92644850,21.54906800
46,6569,-43.15845550,42.36981500
47,59247,-10.48975700,64.44834100
48,82362,-45.66255200,-71.89056700
49,41624,-19.61056100,-158.19617700
50,29869,31.58940900,123.94355600
51,11544,-1.69724400,-104.19662900
52,18237,-84.76123650,-136.88030700
53,30312,19.77300900,151.35086400
54,7589,56.13030700,119.45454100
55,9635,16.06282150,-39.53325600
56,77359,26.54702250,-42.64032700
57,2033,6.20954400,94.47840800
58,70989,-2.84545700,-22.15778700
59,3618,86.91862750,13.72596200
60,55679,57.87689600,-41.15620900
61,18880,-9.41888900,-44.97727000
62,46432,-29.29437200,163.02803400
63,12216,53.34035750,-77.80259800
64,29899,-60.23302800,35.46978900
65,86471,24.05815500,-84.31475400
66,20347,6.20302150,47.62676700
67,93364,83.58116900,-61.14443400
68,23225,5.36235550,-174.70441800
69,7644,68.58275700,-170.79461400
70,40795,9.30004950,-55.78303700
71,52923,-0.74747300,77.68187000
