type_id,type_name
1,Deposit
2,Transfer
3,Purchase
4,Purchase
5,Payment
6,Transfer
7,Payment
8,Deposit
9,Withdrawal
10,Transfer
11,Withdrawal
12,Purchase
13,Withdrawal
14,Transfer
15,Deposit
16,Purchase
17,Payment
18,Purchase
19,Purchase
20,Deposit
21,Payment
22,Purchase
23,Transfer
24,Purchase
25,Transfer
26,Withdrawal
27,Deposit
28,Payment
29,Withdrawal
30,Payment
31,Deposit
32,Purchase
33,Deposit
34,Payment
35,Purchase
36,Payment
37,Deposit
38,Payment
39,Payment
40,Payment
41,Deposit
42,Purchase
43,Purchase
44,Transfer
45,Payment
46,Payment
47,Withdrawal
48,Purchase
49,Payment
50,Transfer
51,Withdrawal
52,Withdrawal
53,Withdrawal
54,Purchase
55,Withdrawal
56,Deposit
57,Deposit
58,Transfer
59,Withdrawal
60,Withdrawal
61,Deposit
62,Transfer
63,Withdrawal
64,Withdrawal
65,Transfer
66,Payment
67,Transfer
68,Transfer
69,Transfer
70,Purchase
71,Purchase
72,Purchase
73,Withdrawal
74,Purchase
75,Withdrawal
76,Payment
77,Withdrawal
78,Purchase
79,Purchase
80,Payment
81,Purchase
82,Withdrawal
83,Deposit
84,Deposit
85,Deposit
86,Deposit
87,Payment
88,Payment
89,Transfer
90,Transfer
91,Deposit
92,Deposit
93,Transfer
94,Transfer
95,Transfer
96,Deposit
97,Withdrawal
98,Withdrawal
99,Withdrawal
100,Purchase
101,Payment
102,Withdrawal
103,Purchase
104,Deposit
105,Withdrawal
106,Purchase
107,Withdrawal
108,Transfer
109,Transfer
110,Transfer
111,Purchase
112,Transfer
113,Transfer
114,Deposit
115,Deposit
116,Payment
117,Payment
118,Withdrawal
119,Transfer
120,Payment
121,Withdrawal
122,Deposit
123,Deposit
124,Deposit
125,Transfer
126,Purchase
127,Payment
128,Transfer
129,Withdrawal
130,Deposit
131,Purchase
132,Withdrawal
133,Transfer
134,Withdrawal
135,Transfer
136,Payment
137,Transfer
138,Transfer
139,Withdrawal
140,Purchase
141,Withdrawal
142,Purchase
143,Deposit
144,Purchase
145,Payment
146,Payment
147,Payment
148,Deposit
149,Deposit
150,Transfer
151,Withdrawal
152,Payment
153,Deposit
154,Deposit
155,Deposit
156,Deposit
157,Deposit
158,Purchase
159,Withdrawal
